warehouse,ItemCode,Description,Assortment,ItemGroup,ItemUnit,Stock,QtyToBeDelivered,CHK
4,301039,METAL PAIL 18 LTR PRINTED CAPCOAT-E,13-Jan-00,Packing Materials,EA," 1,030.00 ", -   ,#N/A
4,301111,PLASTIC PAIL 250 GMS,13-Jan-00,Packing Materials,EA, -   , -   ,-
4,301145,PAPER BAG PRINTED 50KG (BEST ENSABOND),13-Jan-00,Packing Materials,EA," 9,000.00 ", -   ,#N/A
4,601161,CAPSTICK,9-Jan-00,Trading Materials,EA, 10.00 , -   ,601161
4,800024,POLYOL  NT403A,15-Jan-00,Raw Materials PU,kg, -   , -   ,-
4,800025,POLYOL  MN450,15-Jan-00,Raw Materials PU,kg, -   , -   ,-
4,800026,POLYOL RAYPOL  4221,15-Jan-00,Raw Materials PU,kg, -   , -   ,-
4,800031,"LUPRANT M-20, MDI",15-Jan-00,Raw Materials PU,kg, -   , -   ,-
4,800063,CAT-NIAX POTASSIUM ACETATE,8-Jan-00,Sandwich Panel Products,kg, -   , -   ,-
4,800064,POLYOL SU-310,8-Jan-00,Sandwich Panel Products,kg, -   , -   ,-
4,800075,POLYOL SU-440L + 5% DMMP,8-Jan-00,Sandwich Panel Products,kg, 660.00 , -   ,#N/A
4,800076,SILICON AK-8812,8-Jan-00,Sandwich Panel Products,kg," 5,400.00 ", -   ,#N/A
4,800077,COIL RAL 9002 / Ch-1,15-Jan-00,Raw Materials PU,LM, -   , -   ,-
4,810034,ACI POLYOL PAN / HES,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,810035,ACI POLYOL SHU ? 45FRD,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820002,ACI  MESSAMOL,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820005-001,ACI POLYOL PAN-40/ SAH,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820035,ACI POLYOL SHU ? 45FRD,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820036,ACI POLYOL SHU ? 285FRD,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
